=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-12-11_1-49-4
====================================================================================
1:49:4 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
1:49:4 | [PermissionManager] Perm (FreeCamera) has been registered!
1:49:4 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
1:49:4 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
1:49:4 | [PermissionManager] Perm (MenuServerManager) has been registered!
1:49:4 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
1:49:4 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
1:49:4 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
1:49:4 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
1:49:4 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
1:49:4 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
1:49:4 | [PermissionManager] Perm (MenuObjectManager) has been registered!
1:49:4 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
1:49:4 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
1:49:4 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
1:49:4 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
1:49:4 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
1:49:4 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
1:49:4 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
1:49:4 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
1:49:4 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
1:49:4 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
1:49:4 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
1:49:4 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
1:49:4 | [PermissionManager] Perm (MenuBansManager) has been registered!
1:49:4 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
1:49:4 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
1:49:4 | [PermissionManager] Perm (MenuWebHooks) has been registered!
1:49:4 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
1:49:4 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
1:49:4 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
1:49:4 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
1:49:4 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
1:49:4 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
1:49:4 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
1:49:4 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
1:49:4 | [PermissionManager] Adding Super Admin (76561198004438499)
1:49:4 | [PermissionManager] Adding Super Admin (76561198409147443)
1:49:4 | [PermissionManager] Adding Super Admin (76561198958650919)
1:49:4 | [PermissionManager] Loaded UserGroups.json
1:49:4 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
1:49:4 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
1:49:4 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
1:49:4 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
1:49:4 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
1:49:4 | Building Sets Loaded: 0
1:49:4 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
1:49:4 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
1:49:47 | Player "Prometheus" (steamId=76561198958650919) connected to server!
1:51:25 | "76561198958650919" (steamid=76561198958650919) teleported to (pos=<5257.209961, 165.502304, 12614.599609>)
1:51:25 | "Prometheus": (steamid=76561198958650919) teleported to (pos=5257.21,0,12614.6)
1:51:56 | "Prometheus" (steamid=76561198958650919) toggled godmode
1:51:57 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:51:58 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:52:0 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:52:7 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<4956.980469, 175.102081, 13033.926758>)
1:52:19 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<5036.114258, 176.206131, 12978.808594>)
1:52:47 | "Prometheus": (steamid=76561198958650919) teleported to (pos=Elektro)
1:52:52 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:52:56 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10553.543945, 1.660287, 2313.401123>)
1:52:57 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10553.540039, 3.320375, 2313.431396>)
1:52:59 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:53:3 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10545.655273, 14.463860, 2346.745850>)
1:53:19 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10433.718750, 20.489140, 2290.222168>)
1:55:23 | "Prometheus" (steamid=76561198958650919) toggled freecam
1:57:42 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10436.718750, 21.685909, 2295.258545>)
2:5:37 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:13:23 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:13:58 | "76561198958650919" (steamid=76561198958650919) teleported to (pos=<4501.600098, 339.019989, 10700.900391>)
2:13:58 | "Prometheus": (steamid=76561198958650919) teleported to (pos=4501.6,0,10700.9)
2:15:2 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:16:49 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<4540.291992, 339.110748, 10572.181641>)
2:16:51 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:17:33 | "76561198958650919" (steamid=76561198958650919) teleported to (pos=<10572.400391, 6.000000, 2296.020020>)
2:17:33 | "Prometheus": (steamid=76561198958650919) teleported to (pos=10572.4,0,2296.02)
2:17:37 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:17:43 | "Prometheus" (steamid=76561198958650919) teleported to crosshair (pos=<10553.279297, 18.997875, 2286.933594>)
2:17:44 | "Prometheus" (steamid=76561198958650919) toggled freecam
2:17:51 | Player "Prometheus" (steamId=76561198958650919) initiated disconnect process...
2:17:52 | Player "Prometheus" (steamId=76561198958650919) disconnected early from server (EXIT NOW).
2:17:56 | Player "Prometheus" (steamId=76561198958650919) disconnected from server.
